RH,UPV,SandT,CementT,CompStr
28,4.03,1,1,33.1
28,4.01,1,1,33.2
32,4.01,1,1,34.1
30,4.12,1,1,35.6
32,4.11,1,1,35.4
32,4.04,1,1,34.5
30,4.07,1,1,35.7
30,4.03,1,1,34.6
32,4.00,1,1,33.3
32,4.05,1,1,34.3
32,4.14,1,1,34.3
32,4.08,1,1,36.3
30,4.12,1,1,33.8
30,4.14,1,1,33.4
32,4.11,1,1,35.7
30,4.00,1,1,33.1
30,4.00,1,1,33.8
32,4.08,1,1,34.1
32,4.08,1,1,34.7
32,4.17,1,1,34.3
30,4.09,1,1,33.1
30,4.11,1,1,33.8
32,4.12,1,1,34.1
30,4.07,1,1,34.8
32,4.10,1,1,35.1
26,4.00,1,1,28.8
26,4.00,1,1,26.8
26,4.00,1,1,28.8
30,3.90,1,1,29.6
26,3.90,1,1,28.2
26,4.00,1,1,26.6
26,3.90,1,1,26.8
26,3.90,1,1,28.6
26,3.90,1,1,28.6
26,4.00,1,1,28.4
28,3.90,1,1,28.7
26,3.90,1,1,28.2
28,4.00,1,1,28.4
26,3.90,1,1,29.8
28,3.90,1,1,30.6
28,3.90,1,1,28.4
28,3.90,1,1,28.7
28,4.00,1,1,28.5
28,3.90,1,1,28.8
28,4.00,1,1,30.6
26,4.00,1,1,28.9
26,3.90,1,1,28.8
28,3.90,1,1,29.5
26,4.00,1,1,28.4
28,4.00,1,1,30.1
30,4.08,2,1,34.2
30,4.11,2,1,34.8
32,4.09,2,1,35.4
30,4.07,2,1,35.2
30,4.16,2,1,34.1
30,4.12,2,1,33.5
32,4.11,2,1,34.6
32,4.14,2,1,35.2
32,4.11,2,1,34.4
30,4.08,2,1,34.3
30,4.07,2,1,33.8
30,4.03,2,1,34.4
32,4.12,2,1,35.1
32,4.11,2,1,34.6
30,4.08,2,1,33.7
28,4.07,2,1,33.6
32,4.12,2,1,34.4
32,4.12,2,1,34.5
32,4.07,2,1,33.8
32,4.13,2,1,34.6
30,4.00,2,1,34.3
32,4.10,2,1,34.9
32,4.05,2,1,35.1
30,4.04,2,1,33.9
30,4.11,2,1,34.5
28,4.00,2,1,31.7
28,4.10,2,1,29.2
30,4.00,2,1,32.4
28,4.00,2,1,29.8
28,4.00,2,1,29.2
28,4.00,2,1,28.5
26,4.00,2,1,28.6
28,3.90,2,1,28.2
28,4.00,2,1,29.1
28,4.00,2,1,30.1
28,3.90,2,1,31.1
26,4.00,2,1,29.6
28,4.10,2,1,30.8
28,4.00,2,1,30.6
28,4.00,2,1,29.2
28,4.00,2,1,30.5
30,4.00,2,1,30.2
28,4.00,2,1,29.6
28,4.00,2,1,29.1
28,4.00,2,1,30.2
26,3.90,2,1,30.8
26,4.00,2,1,29.8
26,4.00,2,1,30.1
28,4.10,2,1,30.6
28,4.00,2,1,29.3
28,4.03,1,2,32.6
28,4.01,1,2,32.8
32,4.01,1,2,34.1
30,4.12,1,2,32.6
32,4.11,1,2,35.4
32,4.04,1,2,34.5
30,4.07,1,2,35.7
30,4.03,1,2,34.6
32,4.00,1,2,33.3
32,4.05,1,2,34.3
32,4.14,1,2,34.3
32,4.08,1,2,36.3
30,4.12,1,2,33.8
30,4.14,1,2,33.4
32,4.11,1,2,35.7
30,4.00,1,2,33.1
30,4.00,1,2,33.8
32,4.08,1,2,34.1
32,4.08,1,2,34.7
32,4.17,1,2,34.3
30,4.00,1,2,32.5
32,4.06,1,2,33.8
32,4.12,1,2,32.6
32,4.10,1,2,35.1
30,4.04,1,2,33.5
26,4.17,1,2,28.6
26,4.17,1,2,28.8
24,4.05,1,2,27.6
24,3.95,1,2,27.6
26,3.90,1,2,27.4
26,4.17,1,2,28.5
26,3.95,1,2,27.7
28,4.11,1,2,30.6
26,4.17,1,2,29.3
28,4.11,1,2,28.3
28,4.16,1,2,30.3
30,4.11,1,2,32.3
26,4.17,1,2,29.8
26,4.17,1,2,28.4
28,4.05,1,2,29.7
28,4.05,1,2,30.1
28,4.02,1,2,29.8
26,3.95,1,2,27.1
